EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - RatingDate,EstablishmentDetail - RatingDate - xsi:nil,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - AddressLine3,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine4
1003887,fhrs_5_en-GB,FHRS,5,Copdock & Old Ipswichian Cricket Clb,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110541,foodsafety@baberghmidsuffolk.gov.uk,2017-09-25,,Pavilion,Ipswich Cricket Club Ground,Old London Road,IP8 3JL,52.01292800903320,1.05727505683899,0,0,5,Copdock And Washbrook
526348,fhrs_5_en-GB,FHRS,5,Copdock &Old Ipswichian Cricket Club,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016048,foodsafety@baberghmidsuffolk.gov.uk,2015-10-13,,The Clubhouse,Old London Road,Copdock And Washbrook,IP8 3EY,52.03008600000000,1.07011000000000,5,5,5,IPSWICH
526893,fhrs_4_en-GB,FHRS,4,Copdock and Washbrook Pre-School,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000108611,foodsafety@baberghmidsuffolk.gov.uk,2011-06-08,,Pheasant Rise,Copdock And Washbrook,IPSWICH,IP8 3LF,52.03607100000000,1.08682500000000,5,10,5,Suffolk
526176,fhrs_5_en-GB,FHRS,5,Copdock Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000004381,foodsafety@baberghmidsuffolk.gov.uk,2017-05-17,,Copdock County Primary School,The Street,Copdock And Washbrook,IP8 3HY,52.03499300000000,1.08542300000000,0,5,0,IPSWICH
526175,fhrs_exempt_en-GB,FHRS,Exempt,Copdock Village Hall,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000004356,foodsafety@baberghmidsuffolk.gov.uk,2010-09-15,,Old London Road,Copdock And Washbrook,IPSWICH,IP8 3JN,52.02705000000000,1.07996200000000,,,,Suffolk
526433,fhrs_exempt_en-GB,FHRS,Exempt,Cornard Christian Fellowship,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000020936,foodsafety@baberghmidsuffolk.gov.uk,2012-08-07,,Cornard Christian Fellowship Church Hall,1 Broom Street,Great Cornard,CO10 0JT,52.02894600000000,0.74830900000000,,,,SUDBURY
526910,fhrs_5_en-GB,FHRS,5,Cornard United Football Club,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110215,foodsafety@baberghmidsuffolk.gov.uk,2017-04-19,,Cornard United Football Ground,Blackhouse Lane,Great Cornard,CO10 0NL,52.02027700000000,0.75441000000000,5,0,5,SUDBURY
526836,fhrs_5_en-GB,FHRS,5,Corncraft Ltd,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000104558,foodsafety@baberghmidsuffolk.gov.uk,2016-04-13,,Corncraft,Corncraft Businesses,Hadleigh Road,IP7 7AX,52.09137200000000,0.87691800000000,5,5,5,Monks Eleigh
526890,fhrs_exempt_en-GB,FHRS,Exempt,Corner Garage,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000108389,foodsafety@baberghmidsuffolk.gov.uk,2011-08-15,,The Street,Shotley,IPSWICH,IP9 1LG,51.96958600000000,1.24241300000000,,,,Suffolk
526330,fhrs_exempt_en-GB,FHRS,Exempt,Coronation Hall,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016002,foodsafety@baberghmidsuffolk.gov.uk,2010-09-15,,Church Hill,Monks Eleigh,IPSWICH,IP7 7JH,52.09347900000000,0.86686200000000,,,,Suffolk
526275,fhrs_5_en-GB,FHRS,5,Corrina Rosina,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000012381,foodsafety@baberghmidsuffolk.gov.uk,2016-05-20,,,,,,,,5,0,5,
526776,fhrs_5_en-GB,FHRS,5,Costa @ Tesco,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100340,foodsafety@baberghmidsuffolk.gov.uk,2018-03-26,,Tesco Stores Ltd,Springlands Way,Long Melford,CO10 1GY,52.05350100000000,0.73266100000000,5,5,0,SUDBURY
846848,fhrs_5_en-GB,FHRS,5,Costa Coffee,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000171244,foodsafety@baberghmidsuffolk.gov.uk,2016-08-01,,11 Market Hill,SUDBURY,Suffolk,CO10 2EA,52.03868300000000,0.73022600000000,5,0,0,
527065,fhrs_5_en-GB,FHRS,5,Costa Coffee,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000167838,foodsafety@baberghmidsuffolk.gov.uk,2016-09-28,,Copdock Interchange,Pinewood,IPSWICH,IP8 3TT,52.04116000000000,1.09989300000000,0,0,0,Suffolk
526469,fhrs_exempt_en-GB,FHRS,Exempt,Cox's Fruit & Veg,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000022550,foodsafety@baberghmidsuffolk.gov.uk,2013-07-18,,,,,,,,,,,
812413,fhrs_5_en-GB,FHRS,5,Cozy Cats Street Food,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168802,foodsafety@baberghmidsuffolk.gov.uk,2016-06-02,,,,,,,,5,5,0,
526707,fhrs_5_en-GB,FHRS,5,Crabtrees Cafe Bar,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000053317,foodsafety@baberghmidsuffolk.gov.uk,2016-04-12,,Crabtrees,66 High Street,Hadleigh,IP7 5EF,52.04444300000000,0.95362400000000,5,5,5,IPSWICH
948021,fhrs_5_en-GB,FHRS,5,Cradle Foods CIC,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000109830,foodsafety@baberghmidsuffolk.gov.uk,2017-02-07,,40 North Street,SUDBURY,Suffolk,CO10 1RD,52.04133000000000,0.72930800000000,0,5,5,
526179,fhrs_exempt_en-GB,FHRS,Exempt,Crag Pit Farm,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000004665,foodsafety@baberghmidsuffolk.gov.uk,2011-10-11,,,,,,,,,,,
526945,fhrs_5_en-GB,FHRS,5,Craufurd House B & B,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110604,foodsafety@baberghmidsuffolk.gov.uk,2011-03-01,,Craufurd House,Howe Lane,Cockfield,IP30 0HA,52.15913700000000,0.79046800000000,0,0,0,BURY ST EDMUNDS
526345,fhrs_exempt_en-GB,FHRS,Exempt,Cricket Pavilion,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016034,foodsafety@baberghmidsuffolk.gov.uk,2011-08-23,,Playing Field,Homefield,Boxford,CO10 5PB,52.03141500000000,0.85654600000000,,,,SUDBURY
896762,fhrs_5_en-GB,FHRS,5,Crossways Farm,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000050543,foodsafety@baberghmidsuffolk.gov.uk,2016-11-01,,,,,,,,0,0,0,
831626,fhrs_5_en-GB,FHRS,5,Crouch House,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100194,foodsafety@baberghmidsuffolk.gov.uk,2015-12-08,,,,,,,,5,0,5,
526155,fhrs_3_en-GB,FHRS,3,Crown Inn,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000003292,foodsafety@baberghmidsuffolk.gov.uk,2016-07-26,,Cattawade Street,Brantham,MANNINGTREE,CO11 1RE,51.95668200000000,1.05789900000000,5,10,10,Essex
526259,fhrs_4_en-GB,FHRS,4,Crown Inn,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000011361,foodsafety@baberghmidsuffolk.gov.uk,2016-11-15,,Hall Street,Long Melford,SUDBURY,CO10 9JL,52.07869000000000,0.71791100000000,5,10,0,Suffolk
527068,fhrs_5_en-GB,FHRS,5,Daily Grind,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000167935,foodsafety@baberghmidsuffolk.gov.uk,2017-09-14,,Unit 2,Lady Lane Industrial Estate,Hadleigh,IP7 6AS,52.05226800000000,0.96791100000000,5,5,5,IPSWICH
977138,fhrs_5_en-GB,FHRS,5,Daniel's Degustation,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000052941,foodsafety@baberghmidsuffolk.gov.uk,2017-06-02,,,,,,,,0,0,5,
526356,fhrs_exempt_en-GB,FHRS,Exempt,Daphne and Tanya Home Baking,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016337,foodsafety@baberghmidsuffolk.gov.uk,2012-05-30,,,,,,,,,,,
527004,fhrs_5_en-GB,FHRS,5,David's Cafe Continental,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000111439,foodsafety@baberghmidsuffolk.gov.uk,2017-02-17,,52 Gainsborough Street,SUDBURY,Suffolk,CO10 2ET,52.03807700000000,0.72922600000000,0,5,5,
527005,fhrs_3_en-GB,FHRS,3,David's Delicatessen,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000111442,foodsafety@baberghmidsuffolk.gov.uk,2017-02-08,,51-52 Gainsborough Street,SUDBURY,Suffolk,CO10 2ET,52.03807700000000,0.72922600000000,10,5,10,
1009700,fhrs_5_en-GB,FHRS,5,Debs Diner,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000177285,foodsafety@baberghmidsuffolk.gov.uk,2017-10-12,,Long Melford FC,Stoneylands,St Catherines Road,CO10 9JX,52.07396600000000,0.71293900000000,0,0,5,Long Melford
982306,fhrs_exempt_en-GB,FHRS,Exempt,Delphi Club,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000176382,foodsafety@baberghmidsuffolk.gov.uk,2017-06-26,,Delphi Diesel Systems Ltd,Newton Road,SUDBURY,CO10 2RR,52.04175200000000,0.74445700000000,,,,Suffolk
526247,fhrs_4_en-GB,FHRS,4,Denmark House B & B,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000010898,foodsafety@baberghmidsuffolk.gov.uk,2010-01-28,,Denmark House,Hall Street,Long Melford,CO10 9JD,52.07803300000000,0.71793000000000,5,0,10,SUDBURY
704089,fhrs_5_en-GB,FHRS,5,Denyse Palmer,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000041596,foodsafety@baberghmidsuffolk.gov.uk,2014-09-25,,,,,,,,0,0,0,
1034899,fhrs_awaitinginspection_en-GB,FHRS,AwaitingInspection,DG Catering,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000178644,foodsafety@baberghmidsuffolk.gov.uk,,true,The Grange Country Park,Straight Road,East Bergholt,,51.97152341847720,1.05206762144854,,,,COLCHESTER
926211,fhrs_5_en-GB,FHRS,5,Diana Goss,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000037651,foodsafety@baberghmidsuffolk.gov.uk,2016-10-31,,,,,,,,0,0,0,
526867,fhrs_5_en-GB,FHRS,5,Domino's Pizza,Takeaway/sandwich shop,7844,False,297,Babergh,http://www.babergh.gov.uk/,PI/000107072,foodsafety@baberghmidsuffolk.gov.uk,2018-01-23,,26 North Street,SUDBURY,Suffolk,CO10 1RB,52.04014200000000,0.73051900000000,0,5,5,
526377,fhrs_exempt_en-GB,FHRS,Exempt,Dove Barn,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016716,foodsafety@baberghmidsuffolk.gov.uk,2012-01-20,,Castlings Hall,Castlings Heath,Groton,CO10 5ET,52.05026400000000,0.87396900000000,,,,SUDBURY
526988,fhrs_4_en-GB,FHRS,4,Dove Close Cafe,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000111137,foodsafety@baberghmidsuffolk.gov.uk,2012-02-28,,Communual Kitchen Flats 1 to 20,Dove Close,Capel St Mary,IP9 2AW,52.00566500000000,1.03524100000000,0,0,10,IPSWICH
1024564,fhrs_5_en-GB,FHRS,5,Duck in Boots,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000177498,foodsafety@baberghmidsuffolk.gov.uk,2017-12-18,,1 King Street,SUDBURY,Suffolk,CO10 2EB,52.03856277465820,0.73265397548676,0,5,0,
963040,fhrs_5_en-GB,FHRS,5,Dynasty Oriental Cuisine,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000176218,foodsafety@baberghmidsuffolk.gov.uk,2017-06-01,,117-119 High Street,Hadleigh,IPSWICH,IP7 5EJ,52.04592100000000,0.95172300000000,,,,Suffolk
526640,fhrs_4_en-GB,FHRS,4,East Bergholt CEVC Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000048583,foodsafety@baberghmidsuffolk.gov.uk,2017-05-11,,East Bergholt Primary School,School Lane,East Bergholt,CO7 6SW,51.97653400000000,1.01074100000000,0,10,5,COLCHESTER
526659,fhrs_4_en-GB,FHRS,4,East Bergholt High School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000049461,foodsafety@baberghmidsuffolk.gov.uk,2017-10-06,,Heath Road,East Bergholt,COLCHESTER,CO7 6RJ,51.97808100000000,1.02510300000000,0,10,5,Essex
713393,fhrs_4_en-GB,FHRS,4,East Bergholt Young Explorers,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000166713,foodsafety@baberghmidsuffolk.gov.uk,2017-09-19,,Constable Country Childcare,Hadleigh Road,East Bergholt,CO7 6QT,51.97472600000000,1.00932300000000,5,10,5,COLCHESTER
657062,fhrs_5_en-GB,FHRS,5,East End Butchers,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168442,foodsafety@baberghmidsuffolk.gov.uk,2018-02-27,,65 Broom Knoll,East Bergholt,COLCHESTER,CO7 6XN,51.97149500000000,1.06206800000000,5,5,5,Essex
526135,fhrs_5_en-GB,FHRS,5,East of England Co-op,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000001374,foodsafety@baberghmidsuffolk.gov.uk,2016-05-19,,Co Operative Retail Services Ltd,The Street,Holbrook,IP9 2PZ,51.98535900000000,1.15653100000000,5,0,0,IPSWICH
669700,fhrs_5_en-GB,FHRS,5,East of England Co-Op Foodstore,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168365,foodsafety@baberghmidsuffolk.gov.uk,2017-05-30,,2 High Street,Lavenham,SUDBURY,CO10 9PX,52.10786400000000,0.79516600000000,0,0,5,Suffolk
809731,fhrs_5_en-GB,FHRS,5,East of England Co-Op Foodstore,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000172391,foodsafety@baberghmidsuffolk.gov.uk,2015-10-14,,East Bergholt Post Office and Store,The Street,East Bergholt,CO7 6TB,51.97161200000000,1.01150200000000,0,0,0,COLCHESTER
526663,fhrs_5_en-GB,FHRS,5,East Of England Co-Operative Society,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000049977,foodsafety@baberghmidsuffolk.gov.uk,2016-08-30,,38 The Street,Capel St Mary,IPSWICH,IP9 2EP,52.00384100000000,1.04977700000000,0,0,0,Suffolk
526187,fhrs_5_en-GB,FHRS,5,East Of England Co-Operative Society,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000005023,foodsafety@baberghmidsuffolk.gov.uk,2016-06-23,,3A-5A Acacia Court,Blenheim Close,Brantham,CO11 1TR,51.96524800000000,1.06536900000000,0,0,0,MANNINGTREE
526636,fhrs_5_en-GB,FHRS,5,East Of England Co-Operative Society,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000048423,foodsafety@baberghmidsuffolk.gov.uk,2017-05-03,,70-72 High Street,Hadleigh,IPSWICH,IP7 5EF,52.04444300000000,0.95362400000000,0,0,5,Suffolk
526362,fhrs_5_en-GB,FHRS,5,East Of England Co-Operative Society,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016418,foodsafety@baberghmidsuffolk.gov.uk,2017-03-27,,Ipswich and Norwich Co-Operative Society,Unit 3,Laburnum Close,IP8 3SL,52.04284900000000,1.10918400000000,0,0,0,Pinewood
920806,fhrs_5_en-GB,FHRS,5,Easy Peasy Cooking,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000027354,foodsafety@baberghmidsuffolk.gov.uk,2016-10-11,,,,,,,,0,0,0,
526806,fhrs_exempt_en-GB,FHRS,Exempt,Edens Youth Project,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100770,foodsafety@baberghmidsuffolk.gov.uk,2010-04-15,,44 Gainsborough Street,SUDBURY,Suffolk,CO10 2EU,52.03817900000000,0.72754100000000,,,,
526740,fhrs_5_en-GB,FHRS,5,Edge Hall,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000056371,foodsafety@baberghmidsuffolk.gov.uk,2012-08-06,,2 High Street,Hadleigh,IPSWICH,IP7 5AP,52.04212800000000,0.95523600000000,0,0,0,Suffolk
526220,fhrs_exempt_en-GB,FHRS,Exempt,Edinburgh Woollen Mills,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000006954,foodsafety@baberghmidsuffolk.gov.uk,2010-08-09,,10 Old Market Place,SUDBURY,Suffolk,CO10 1TL,52.03896900000000,0.73186200000000,,,,
526472,fhrs_5_en-GB,FHRS,5,Edwards & Blake Ltd @JCS Hi-Torque,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000024274,foodsafety@baberghmidsuffolk.gov.uk,2017-04-12,,1 Northern Road,Chilton Industrial Estate,SUDBURY,CO10 2YH,52.04662700000000,0.74789200000000,0,0,0,Suffolk
526272,fhrs_exempt_en-GB,FHRS,Exempt,Elizabeth Court,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000012218,foodsafety@baberghmidsuffolk.gov.uk,2012-04-26,,East Street,SUDBURY,Suffolk,CO10 2TR,52.04090200000000,0.73422600000000,,,,
780700,fhrs_5_en-GB,FHRS,5,Elmsett C of E Voluntary Controlled,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000171143,foodsafety@baberghmidsuffolk.gov.uk,2017-06-15,,Elmsett C of E Voluntary Controlled Primary School,The Street,Elmsett,IP7 6PA,52.08033800000000,1.00088000000000,0,0,5,IPSWICH
726839,fhrs_5_en-GB,FHRS,5,Elmsett Post Office & Stores,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000170389,foodsafety@baberghmidsuffolk.gov.uk,2017-01-13,,The Post Office Stores,The Street,Elmsett,IP7 6PA,52.08033800000000,1.00088000000000,0,0,0,IPSWICH
526323,fhrs_exempt_en-GB,FHRS,Exempt,Elmsett Village Hall,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000015990,foodsafety@baberghmidsuffolk.gov.uk,2012-06-20,,Elmsett and Aldham Village Hall,The Street,Elmsett,IP7 6PA,52.08033800000000,1.00088000000000,,,,IPSWICH
638511,fhrs_exempt_en-GB,FHRS,Exempt,Emz Novelty Cakes,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000057694,foodsafety@baberghmidsuffolk.gov.uk,2014-03-05,,,,,,,,,,,
526827,fhrs_5_en-GB,FHRS,5,Essex Pig Company,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000102449,foodsafety@baberghmidsuffolk.gov.uk,2018-03-15,,"Butchery, Restaurant & Field Kitchen",Pannington Hall,Pannington Hall Lane,IP9 2AR,52.01848602294920,1.12536501884460,0,5,0,Wherstead
526427,fhrs_5_en-GB,FHRS,5,Extra Friend Ltd,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000020449,foodsafety@baberghmidsuffolk.gov.uk,2017-08-11,,Willows Residential Home,Bury Road,Lawshall,IP29 4PJ,52.16513300000000,0.71237100000000,0,5,5,BURY ST EDMUNDS
771847,fhrs_5_en-GB,FHRS,5,Fanny Anne's Tea Room,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000171196,foodsafety@baberghmidsuffolk.gov.uk,2017-06-05,,The Patisserie,Hall Street,Long Melford,CO10 9LA,52.07482000000000,0.71610000000000,5,5,5,SUDBURY
526403,fhrs_5_en-GB,FHRS,5,Farmfoods Limited,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000018124,foodsafety@baberghmidsuffolk.gov.uk,2013-06-17,,Unit 3a,Shawlands Retail Park,Newton Road,CO10 2BG,52.04117100000000,0.75314200000000,0,5,0,SUDBURY
612337,fhrs_5_en-GB,FHRS,5,Fergusons,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168308,foodsafety@baberghmidsuffolk.gov.uk,2017-12-05,,48 High Street,Hadleigh,IPSWICH,IP7 5AL,52.04357500000000,0.95417900000000,0,5,5,Suffolk
948020,fhrs_5_en-GB,FHRS,5,Fern Alexandra Bakes,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000030583,foodsafety@baberghmidsuffolk.gov.uk,2017-02-21,,The Harbourage,Shotley Road,Chelmondiston,IP9 1EE,51.98898000000000,1.21446000000000,0,0,0,IPSWICH
768361,fhrs_5_en-GB,FHRS,5,"Field, Fur & Feather Catering",Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000171159,foodsafety@baberghmidsuffolk.gov.uk,2015-05-28,,The Cookhouse,Suffolk Food Hall,Peppers Lane,IP9 2AB,52.02378200000000,1.15614700000000,0,5,0,Wherstead
909603,fhrs_5_en-GB,FHRS,5,Finezza,Takeaway/sandwich shop,7844,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174176,foodsafety@baberghmidsuffolk.gov.uk,2016-08-09,,Takeway at,"The Kings Head, 90",High Street,IP7 5EF,52.04444300000000,0.95362300000000,5,5,0,Hadleigh
1012565,fhrs_5_en-GB,FHRS,5,Finezza Mobile Pizzeria,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000054882,foodsafety@baberghmidsuffolk.gov.uk,2017-10-25,,19 Clifton Wood,Holbrook,IPSWICH,IP9 2PY,51.98615646362300,1.15424203872681,0,5,5,Suffolk
526192,fhrs_5_en-GB,FHRS,5,Finjaro Guest House,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000005196,foodsafety@baberghmidsuffolk.gov.uk,2011-10-11,,Finjaro,Valley Farm Drive,Sproughton,IP8 3EL,52.05129500000000,1.07798400000000,0,0,0,IPSWICH
526904,fhrs_exempt_en-GB,FHRS,Exempt,First Friends Pre-School,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000109940,foodsafety@baberghmidsuffolk.gov.uk,2013-03-20,,Folly Road,Great Waldingfield,SUDBURY,CO10 0RR,52.05630300000000,0.77703500000000,,,,Suffolk
526489,fhrs_5_en-GB,FHRS,5,First Garden Chinese Takeaway,Takeaway/sandwich shop,7844,False,297,Babergh,http://www.babergh.gov.uk/,PI/000025066,foodsafety@baberghmidsuffolk.gov.uk,2017-10-06,,First Garden,1 Poplar Road,Great Cornard,CO10 0LH,52.03465100000000,0.74816300000000,5,5,5,SUDBURY
526745,fhrs_4_en-GB,FHRS,4,Five Bells Inn,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000056813,foodsafety@baberghmidsuffolk.gov.uk,2016-02-29,,63 Bures Road,Great Cornard,SUDBURY,CO10 0HU,52.02875100000000,0.74390800000000,0,10,5,Suffolk
526781,fhrs_5_en-GB,FHRS,5,Flatford Mill Field Centre,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100439,foodsafety@baberghmidsuffolk.gov.uk,2017-05-26,,Flatford Lane,East Bergholt,COLCHESTER,CO7 6UL,51.95937500000000,1.02122200000000,0,5,0,Essex
932567,fhrs_5_en-GB,FHRS,5,Florabelle's,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000175355,foodsafety@baberghmidsuffolk.gov.uk,2016-12-21,,38 North Street,SUDBURY,Suffolk,CO10 1RD,52.04133000000000,0.72930800000000,0,5,5,
638512,fhrs_5_en-GB,FHRS,5,Focus School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168309,foodsafety@baberghmidsuffolk.gov.uk,2015-11-11,,Middle School,Sudbury Road,Stoke by Nayland,CO6 4RJ,51.99217500000000,0.88721800000000,0,0,0,COLCHESTER
526166,fhrs_4_en-GB,FHRS,4,Fontana Restaurant,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000003763,foodsafety@baberghmidsuffolk.gov.uk,2018-02-09,,Fontana,Cattawade Street,Brantham,CO11 1RG,51.95739300000000,1.05720500000000,5,10,5,MANNINGTREE
526662,fhrs_5_en-GB,FHRS,5,Food for Thought,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000049779,foodsafety@baberghmidsuffolk.gov.uk,2011-04-20,,,,,,,,0,0,0,
526552,fhrs_5_en-GB,FHRS,5,Forget Me Not,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000037071,foodsafety@baberghmidsuffolk.gov.uk,2017-09-22,,2 Birch Street,Nayland with Wissington,COLCHESTER,CO6 4JA,51.97312800000000,0.87392100000000,5,5,5,Essex
892191,fhrs_5_en-GB,FHRS,5,Fountain House Tearoom,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174020,foodsafety@baberghmidsuffolk.gov.uk,2017-02-03,,Fountain House Tea Room,The Street,East Bergholt,CO7 6TB,51.97161200000000,1.01150200000000,5,0,5,COLCHESTER
526858,fhrs_5_en-GB,FHRS,5,Fox and Hounds,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000106812,foodsafety@baberghmidsuffolk.gov.uk,2017-08-02,,Church Street,Groton,SUDBURY,CO10 5ED,52.03769400000000,0.85573600000000,0,5,5,Suffolk
